Reference ID,Smiles_Detected,Last_Location,Location_History,Timestamp,Node,Distance,ID,Sociability,Relaxed,Sociability Score,Relaxed Score
0,0,"((224, 219), (277, 272))","[((224, 219), (277, 272))]",2018-11-17 10:59:33,"(250.5, 245.5)",9.192388155425117,0.0,0.0,0.0,0.0,0.0
1,0,"((206, 213), (278, 285))","[((209, 219), (272, 282)), ((193, 211), (262, 280)), ((206, 213), (278, 285))]",2018-11-17 10:59:34,"(242.0, 249.0)",53.44623466625128,1.0,1.0,0.0,0.0,0.0
2,0,"((168, 198), (221, 251))","[((168, 198), (221, 251))]",2018-11-17 11:00:14,"(194.5, 224.5)",51.56064390598706,2.0,1.0,0.0,0.0,0.0
3,0,"((220, 196), (272, 248))","[((220, 196), (272, 248))]",2018-11-17 11:00:14,"(246.0, 222.0)",28.0178514522438,3.0,1.0,0.0,0.0,0.0
4,0,"((248, 195), (300, 247))","[((249, 194), (301, 246)), ((246, 194), (297, 245)), ((248, 195), (300, 247))]",2018-11-17 11:00:15,"(274.0, 221.0)",36.22154055254967,4.0,1.0,0.0,0.0,0.0
5,2,"((285, 192), (335, 242))","[((290, 194), (340, 244)), ((292, 193), (341, 242)), ((291, 194), (340, 243)), ((290, 193), (340, 243)), ((294, 192), (346, 244)), ((294, 193), (344, 243)), ((285, 192), (335, 242))]",2018-11-17 11:00:18,"(310.0, 217.0)",183.5551688185326,5.0,0.0,1.0,0.0,2.0
6,0,"((101, 187), (152, 238))","[((97, 186), (150, 239)), ((99, 186), (152, 239)), ((101, 187), (152, 238))]",2018-11-17 11:00:19,"(126.5, 212.5)",22.825424421026653,6.0,1.0,0.0,0.0,0.0
7,0,"((29, 84), (264, 319))","[((98, 183), (149, 234)), ((29, 84), (264, 319))]",2018-11-17 11:00:25,"(146.5, 201.5)",211.80769579975134,7.0,0.0,1.0,0.0,0.0
8,0,"((321, 189), (393, 261))","[((321, 189), (393, 261))]",2018-11-17 11:00:25,"(357.0, 225.0)",30.99193443462347,8.0,1.0,0.0,0.0,0.0
9,6,"((301, 194), (352, 245))","[((271, 197), (322, 248)), ((291, 195), (341, 245)), ((297, 194), (346, 243)), ((299, 194), (350, 245)), ((298, 194), (348, 244)), ((303, 194), (353, 244)), ((301, 195), (351, 245)), ((301, 195), (351, 245)), ((301, 194), (352, 245))]",2018-11-17 11:00:29,"(326.5, 219.5)",70.71421356417676,9.0,1.0,0.0,6.0,0.0
10,0,"((226, 195), (286, 255))","[((226, 195), (286, 255))]",2018-11-17 11:00:36,"(256.0, 225.0)",78.34858007647618,10.0,1.0,0.0,0.0,0.0
11,0,"((110, 145), (247, 282))","[((110, 145), (247, 282))]",2018-11-17 11:00:38,"(178.5, 213.5)",17.10263137648707,11.0,1.0,0.0,0.0,0.0
12,0,"((138, 185), (186, 233))","[((138, 185), (186, 233))]",2018-11-17 11:00:52,"(162.0, 209.0)",102.3132444994293,12.0,1.0,0.0,0.0,0.0
13,0,"((31, 188), (89, 246))","[((31, 188), (89, 246))]",2018-11-17 11:00:53,"(60.0, 217.0)",132.24220203853233,13.0,0.0,1.0,0.0,0.0
14,0,"((161, 194), (223, 256))","[((161, 194), (223, 256))]",2018-11-17 11:00:56,"(192.0, 225.0)",201.88734482379027,14.0,0.0,1.0,0.0,0.0
15,1,"((376, 195), (411, 230))","[((376, 195), (411, 230))]",2018-11-17 11:01:02,"(393.5, 212.5)",221.04411324439292,15.0,0.0,1.0,0.0,1.0
16,0,"((145, 169), (201, 225))","[((145, 169), (201, 225))]",2018-11-17 11:01:53,"(173.0, 197.0)",114.50982490598787,16.0,0.0,1.0,0.0,0.0
17,0,"((34, 171), (83, 220))","[((34, 171), (83, 220))]",2018-11-17 11:01:54,"(58.5, 195.5)",426.00469480981076,17.0,0.0,1.0,0.0,0.0
18,0,"((421, 134), (548, 261))","[((421, 134), (548, 261))]",2018-11-17 11:02:30,"(484.5, 197.5)",298.13839068459464,18.0,0.0,1.0,0.0,0.0
19,0,"((158, 188), (216, 246))","[((158, 188), (216, 246))]",2018-11-17 11:02:32,"(187.0, 217.0)",312.360368805007,19.0,0.0,1.0,0.0,0.0
20,0,"((470, 203), (528, 261))","[((470, 203), (528, 261))]",2018-11-17 11:02:59,"(499.0, 232.0)",89.00561780022652,20.0,1.0,0.0,0.0,0.0
21,0,"((547, 190), (629, 272))","[((547, 190), (629, 272))]",2018-11-17 11:03:01,"(588.0, 231.0)",302.5202472562787,21.0,0.0,1.0,0.0,0.0
22,0,"((250, 192), (321, 263))","[((248, 193), (317, 262)), ((252, 193), (321, 262)), ((250, 192), (321, 263))]",2018-11-17 11:03:04,"(285.5, 227.5)",8.602325267042627,22.0,1.0,0.0,0.0,0.0
23,0,"((255, 195), (306, 246))","[((262, 192), (314, 244)), ((255, 195), (306, 246))]",2018-11-17 11:03:29,"(280.5, 220.5)",43.57177985806869,23.0,1.0,0.0,0.0,0.0
24,0,"((298, 192), (350, 244))","[((283, 193), (331, 241)), ((298, 192), (350, 244))]",2018-11-17 11:03:30,"(324.0, 218.0)",60.67124524847005,24.0,1.0,0.0,0.0,0.0
25,0,"((222, 185), (306, 269))","[((274, 194), (327, 247)), ((222, 185), (306, 269))]",2018-11-17 11:03:32,"(264.0, 227.0)",143.7793448308901,25.0,0.0,1.0,0.0,0.0
26,1,"((302, 329), (355, 382))","[((302, 329), (355, 382))]",2018-11-17 11:03:37,"(328.5, 355.5)",142.43068489619785,26.0,0.0,1.0,0.0,1.0
27,0,"((359, 189), (453, 283))","[((359, 189), (453, 283))]",2018-11-17 11:03:57,"(406.0, 236.0)",68.06247130394253,27.0,1.0,0.0,0.0,0.0
28,0,"((445, 228), (498, 281))","[((445, 228), (498, 281))]",2018-11-17 11:05:11,"(471.5, 254.5)",115.42313459614584,28.0,0.0,1.0,0.0,0.0
29,0,"((403, 332), (467, 396))","[((403, 332), (467, 396))]",2018-11-17 11:05:15,"(435.0, 364.0)",225.72992712531496,29.0,0.0,1.0,0.0,0.0
30,0,"((231, 188), (293, 250))","[((197, 184), (266, 253)), ((209, 187), (276, 254)), ((231, 188), (293, 250))]",2018-11-17 11:05:23,"(262.0, 219.0)",51.24451190127583,30.0,1.0,0.0,0.0,0.0
31,0,"((281, 192), (345, 256))","[((286, 190), (343, 247)), ((281, 192), (345, 256))]",2018-11-17 11:05:26,"(313.0, 224.0)",202.76340892774513,31.0,0.0,1.0,0.0,0.0
32,0,"((80, 236), (152, 308))","[((80, 236), (152, 308))]",2018-11-17 11:06:28,"(116.0, 272.0)",61.6644143732834,32.0,1.0,0.0,0.0,0.0
33,0,"((140, 218), (209, 287))","[((140, 218), (209, 287))]",2018-11-17 11:06:28,"(174.5, 252.5)",150.68676119686162,33.0,0.0,1.0,0.0,0.0
35,0,"((274, 225), (322, 273))","[((304, 224), (347, 267)), ((278, 222), (328, 272)), ((263, 220), (313, 270)), ((269, 223), (319, 273)), ((274, 225), (322, 273))]",2018-11-17 11:06:32,"(298.0, 249.0)",2.0,34.0,1.0,0.0,0.0,0.0
36,0,"((277, 226), (319, 268))","[((277, 226), (319, 268))]",2018-11-17 11:06:36,"(298.0, 247.0)",12.041594578792296,36.0,1.0,0.0,0.0,0.0
37,5,"((284, 220), (336, 272))","[((283, 220), (333, 270)), ((286, 221), (336, 271)), ((287, 221), (337, 271)), ((287, 221), (337, 271)), ((286, 221), (336, 271)), ((284, 220), (336, 272))]",2018-11-17 11:06:38,"(310.0, 246.0)",125.89678312014172,37.0,0.0,1.0,0.0,0.0
38,0,"((165, 279), (281, 395))","[((175, 281), (291, 397)), ((165, 279), (281, 395))]",2018-11-17 11:06:47,"(223.0, 337.0)",42.290660907581,38.0,1.0,0.0,5.0,0.0
39,1,"((161, 254), (250, 343))","[((161, 254), (250, 343))]",2018-11-17 11:16:24,"(205.5, 298.5)",154.02921800749363,39.0,0.0,1.0,0.0,0.0
40,0,"((329, 237), (382, 290))","[((329, 237), (382, 290))]",2018-11-17 11:18:58,"(355.5, 263.5)",37.662979170532964,40.0,1.0,0.0,1.0,0.0
41,0,"((366, 233), (420, 287))","[((366, 233), (420, 287))]",2018-11-17 11:18:59,"(393.0, 260.0)",72.99315036357864,41.0,1.0,0.0,0.0,0.0
42,0,"((430, 237), (500, 307))","[((430, 237), (500, 307))]",2018-11-17 11:19:00,"(465.0, 272.0)",86.02615881230545,42.0,1.0,0.0,0.0,0.0
43,0,"((510, 241), (591, 322))","[((510, 241), (591, 322))]",2018-11-17 11:19:00,"(550.5, 281.5)",258.69866640553056,43.0,0.0,1.0,0.0,0.0
44,0,"((270, 200), (325, 255))","[((256, 198), (301, 243)), ((270, 200), (325, 255))]",2018-11-17 11:22:39,"(297.5, 227.5)",41.0,44.0,1.0,0.0,0.0,0.0
45,0,"((307, 188), (368, 249))","[((307, 188), (368, 249))]",2018-11-17 11:22:41,"(337.5, 218.5)",59.06352512337881,45.0,1.0,0.0,0.0,0.0
46,0,"((250, 202), (310, 262))","[((237, 215), (288, 266)), ((250, 202), (310, 262))]",2018-11-17 11:25:57,"(280.0, 232.0)",147.3787637348068,46.0,0.0,1.0,0.0,0.0
47,0,"((74, 211), (205, 342))","[((74, 211), (205, 342))]",2018-11-17 11:25:59,"(139.5, 276.5)",71.79484661171719,47.0,1.0,0.0,0.0,0.0
48,0,"((18, 252), (134, 368))","[((18, 252), (134, 368))]",2018-11-17 11:26:00,"(76.0, 310.0)",15.652475842498529,48.0,1.0,0.0,0.0,0.0
49,1,"((54, 295), (112, 353))","[((54, 295), (112, 353))]",2018-11-17 11:29:31,"(83.0, 324.0)",101.17806086301516,49.0,1.0,0.0,0.0,0.0
50,2,"((158, 304), (210, 356))","[((133, 303), (188, 358)), ((158, 304), (210, 356))]",2018-11-17 11:29:32,"(184.0, 330.0)",136.1800279042415,50.0,0.0,1.0,0.0,1.0
51,0,"((209, 166), (311, 268))","[((209, 166), (311, 268))]",2018-11-17 11:31:12,"(260.0, 217.0)",217.666028585078,51.0,0.0,1.0,0.0,2.0
52,0,"((17, 213), (70, 266))","[((17, 213), (70, 266))]",2018-11-17 11:39:46,"(43.5, 239.5)",569.3175739426986,52.0,0.0,1.0,0.0,0.0
53,0,"((541, 391), (619, 469))","[((541, 391), (619, 469))]",2018-11-17 11:40:19,"(580.0, 430.0)",371.53532806450585,53.0,0.0,1.0,0.0,0.0
54,1,"((243, 202), (294, 253))","[((243, 202), (294, 253))]",2018-11-17 11:48:31,"(268.5, 227.5)",43.502873468312416,54.0,1.0,0.0,0.0,0.0
55,1,"((282, 198), (342, 258))","[((282, 198), (342, 258))]",2018-11-17 11:48:32,"(312.0, 228.0)",194.51735141112732,55.0,0.0,1.0,0.0,1.0
56,1,"((323, 382), (393, 452))","[((502, 152), (561, 211)), ((323, 382), (393, 452))]",2018-11-17 11:48:32,"(358.0, 417.0)",296.56871041969345,56.0,0.0,1.0,0.0,1.0
57,1,"((598, 252), (632, 286))","[((598, 252), (632, 286))]",2018-11-17 11:48:47,"(615.0, 269.0)",336.59545451476316,57.0,0.0,1.0,0.0,1.0
58,0,"((255, 281), (306, 332))","[((255, 281), (306, 332))]",2018-11-17 11:51:38,"(280.5, 306.5)",132.25732493892352,58.0,0.0,1.0,0.0,1.0
59,0,"((360, 308), (449, 397))","[((360, 308), (449, 397))]",2018-11-17 11:57:46,"(404.5, 352.5)",219.18029108475972,59.0,0.0,1.0,0.0,0.0
60,0,"((160, 212), (253, 305))","[((160, 212), (253, 305))]",2018-11-17 11:58:03,"(206.5, 258.5)",79.9155804583812,60.0,1.0,0.0,0.0,0.0
61,0,"((168, 278), (284, 394))","[((168, 278), (284, 394))]",2018-11-17 12:00:09,"(226.0, 336.0)",250.9432206695371,61.0,0.0,1.0,0.0,0.0
62,0,"((444, 253), (497, 306))","[((444, 253), (497, 306))]",2018-11-17 12:00:20,"(470.5, 279.5)",268.6726632912251,62.0,0.0,1.0,0.0,0.0
63,1,"((158, 254), (247, 343))","[((158, 254), (247, 343))]",2018-11-17 12:04:19,"(202.5, 298.5)",280.6724069088374,63.0,0.0,1.0,0.0,0.0
64,0,"((461, 230), (496, 265))","[((461, 230), (496, 265))]",2018-11-17 12:04:44,"(478.5, 247.5)",44.553338819890925,64.0,1.0,0.0,1.0,0.0
65,0,"((505, 237), (540, 272))","[((505, 237), (540, 272))]",2018-11-17 12:04:45,"(522.5, 254.5)",49.25444142409901,65.0,1.0,0.0,0.0,0.0
66,1,"((549, 227), (594, 272))","[((549, 227), (594, 272))]",2018-11-17 12:04:46,"(571.5, 249.5)",22.47220505424423,66.0,1.0,0.0,0.0,0.0
67,0,"((554, 245), (605, 296))","[((554, 245), (605, 296))]",2018-11-17 12:04:47,"(579.5, 270.5)",375.43641272524434,67.0,0.0,1.0,0.0,1.0
68,1,"((158, 250), (252, 344))","[((158, 250), (252, 344))]",2018-11-17 12:07:03,"(205.0, 297.0)",48.87228253314961,68.0,1.0,0.0,0.0,0.0
69,0,"((197, 285), (286, 374))","[((197, 285), (286, 374))]",2018-11-17 12:08:24,"(241.5, 329.5)",54.023143188822324,69.0,1.0,0.0,1.0,0.0
70,0,"((163, 270), (227, 334))","[((163, 270), (227, 334))]",2018-11-17 12:11:07,"(195.0, 302.0)",8.276472678623424,70.0,1.0,0.0,0.0,0.0
71,3,"((158, 254), (247, 343))","[((161, 262), (238, 339)), ((161, 259), (243, 341)), ((158, 254), (247, 343))]",2018-11-17 12:11:09,"(202.5, 298.5)",147.7920836851555,71.0,0.0,1.0,0.0,0.0
72,0,"((16, 278), (96, 358))","[((16, 278), (96, 358))]",2018-11-17 12:13:00,"(56.0, 318.0)",146.8008855559121,72.0,0.0,1.0,0.0,3.0
73,1,"((157, 254), (246, 343))","[((157, 254), (246, 343))]",2018-11-17 12:14:02,"(201.5, 298.5)",1.5811388300841898,73.0,1.0,0.0,0.0,0.0
74,1,"((155, 251), (247, 343))","[((155, 251), (247, 343))]",2018-11-17 12:16:30,"(201.0, 297.0)",190.68298298484845,74.0,0.0,1.0,0.0,1.0
75,0,"((368, 236), (406, 274))","[((368, 236), (406, 274))]",2018-11-17 12:19:09,"(387.0, 255.0)",60.66712454039667,75.0,1.0,0.0,1.0,0.0
76,0,"((422, 225), (473, 276))","[((422, 225), (473, 276))]",2018-11-17 12:19:10,"(447.5, 250.5)",126.50889296804395,76.0,0.0,1.0,0.0,0.0
77,0,"((544, 219), (604, 279))","[((544, 219), (604, 279))]",2018-11-17 12:19:11,"(574.0, 249.0)",380.5686534647855,77.0,0.0,1.0,0.0,0.0
78,1,"((163, 270), (232, 339))","[((163, 270), (232, 339))]",2018-11-17 12:19:25,"(197.5, 304.5)",47.10095540432275,78.0,1.0,0.0,0.0,0.0
79,0,"((168, 284), (284, 400))","[((168, 281), (284, 397)), ((168, 284), (284, 400))]",2018-11-17 12:21:05,"(226.0, 342.0)",48.95406009719725,79.0,1.0,0.0,1.0,0.0
80,1,"((159, 262), (238, 341))","[((159, 262), (238, 341))]",2018-11-17 12:21:14,"(198.5, 301.5)",7.0710678118654755,80.0,1.0,0.0,0.0,0.0
81,0,"((177, 280), (230, 333))","[((177, 280), (230, 333))]",2018-11-17 12:21:32,"(203.5, 306.5)",0.7071067811865476,81.0,1.0,0.0,1.0,0.0
82,2,"((174, 276), (234, 336))","[((164, 270), (233, 339)), ((174, 276), (234, 336))]",2018-11-17 12:21:52,"(204.0, 306.0)",8.74642784226795,82.0,1.0,0.0,0.0,0.0
83,1,"((157, 247), (266, 356))","[((157, 247), (266, 356))]",2018-11-17 12:22:27,"(211.5, 301.5)",73.40640299047489,83.0,1.0,0.0,2.0,0.0
84,0,"((230, 219), (270, 259))","[((230, 219), (270, 259))]",2018-11-17 12:24:51,"(250.0, 239.0)",163.783393541592,84.0,0.0,1.0,0.0,1.0
85,0,"((69, 237), (105, 273))","[((69, 237), (105, 273))]",2018-11-17 12:24:51,"(87.0, 255.0)",220.5810508633958,85.0,0.0,1.0,0.0,0.0
86,0,"((282, 214), (332, 264))","[((282, 214), (332, 264))]",2018-11-17 12:24:52,"(307.0, 239.0)",266.1400007514842,86.0,0.0,1.0,0.0,0.0
87,0,"((17, 243), (68, 294))","[((32, 235), (81, 284)), ((17, 243), (68, 294))]",2018-11-17 12:24:52,"(42.5, 268.5)",312.2579062249665,87.0,0.0,1.0,0.0,0.0
88,0,"((324, 211), (383, 270))","[((324, 211), (383, 270))]",2018-11-17 12:24:54,"(353.5, 240.5)",180.76780686836912,88.0,0.0,1.0,0.0,0.0
89,1,"((472, 286), (553, 367))","[((472, 286), (553, 367))]",2018-11-17 12:24:57,"(512.5, 326.5)",350.051424793558,89.0,0.0,1.0,0.0,0.0
90,0,"((138, 296), (187, 345))","[((138, 296), (187, 345))]",2018-11-17 12:29:04,"(162.5, 320.5)",81.68537200747757,90.0,1.0,0.0,1.0,0.0
91,0,"((206, 256), (268, 318))","[((206, 256), (268, 318))]",2018-11-17 12:31:28,"(237.0, 287.0)",149.4071618096,91.0,0.0,1.0,0.0,0.0
92,0,"((70, 206), (125, 261))","[((102, 205), (151, 254)), ((88, 208), (141, 261)), ((70, 206), (125, 261))]",2018-11-17 12:34:00,"(97.5, 233.5)",50.695167422546305,92.0,1.0,0.0,0.0,0.0
93,0,"((58, 256), (111, 309))","[((69, 253), (122, 306)), ((58, 256), (111, 309))]",2018-11-17 12:34:04,"(84.5, 282.5)",153.18289721767243,93.0,0.0,1.0,0.0,0.0
94,0,"((210, 275), (263, 328))","[((210, 275), (263, 328))]",2018-11-17 12:34:53,"(236.5, 301.5)",171.04970037974343,94.0,0.0,1.0,0.0,0.0
95,0,"((386, 247), (421, 282))","[((386, 247), (421, 282))]",2018-11-17 12:35:30,"(403.5, 264.5)",35.30580688781946,95.0,1.0,0.0,0.0,0.0
96,0,"((349, 252), (389, 292))","[((349, 252), (389, 292))]",2018-11-17 12:35:31,"(369.0, 272.0)",93.98138113477584,96.0,1.0,0.0,0.0,0.0
97,1,"((438, 238), (487, 287))","[((446, 241), (481, 276)), ((432, 234), (468, 270)), ((438, 238), (487, 287))]",2018-11-17 12:35:32,"(462.5, 262.5)",104.00480758118829,97.0,1.0,0.0,0.0,0.0
98,1,"((549, 244), (584, 279))","[((549, 244), (584, 279))]",2018-11-17 12:35:32,"(566.5, 261.5)",229.96086623597503,98.0,0.0,1.0,0.0,1.0
99,0,"((313, 258), (362, 307))","[((313, 258), (362, 307))]",2018-11-17 12:35:32,"(337.5, 282.5)",266.3174797117155,99.0,0.0,1.0,0.0,1.0
100,1,"((586, 252), (621, 287))","[((586, 252), (621, 287))]",2018-11-17 12:35:34,"(603.5, 269.5)",293.33428030150174,100.0,0.0,1.0,0.0,0.0
101,0,"((284, 257), (337, 310))","[((284, 257), (337, 310))]",2018-11-17 12:35:34,"(310.5, 283.5)",51.19570294468082,101.0,1.0,0.0,1.0,0.0
102,0,"((231, 265), (290, 324))","[((231, 265), (290, 324))]",2018-11-17 12:35:36,"(260.5, 294.5)",226.5137964893088,102.0,0.0,1.0,0.0,0.0
103,1,"((449, 259), (525, 335))","[((449, 259), (525, 335))]",2018-11-17 12:35:37,"(487.0, 297.0)",206.07886839751427,103.0,0.0,1.0,0.0,0.0
104,0,"((266, 247), (301, 282))","[((271, 241), (302, 272)), ((266, 248), (300, 282)), ((266, 247), (301, 282))]",2018-11-17 12:38:13,"(283.5, 264.5)",86.70063436907483,104.0,1.0,0.0,1.0,0.0
105,0,"((268, 324), (321, 377))","[((268, 324), (321, 377))]",2018-11-17 12:38:13,"(294.5, 350.5)",91.95923009682062,105.0,1.0,0.0,0.0,0.0
106,0,"((220, 248), (270, 298))","[((220, 248), (270, 298))]",2018-11-17 12:38:17,"(245.0, 273.0)",67.30898899849856,106.0,1.0,0.0,0.0,0.0
107,0,"((285, 263), (336, 314))","[((285, 263), (336, 314))]",2018-11-17 12:38:20,"(310.5, 288.5)",44.972213643537714,107.0,1.0,0.0,0.0,0.0
108,0,"((237, 266), (295, 324))","[((237, 266), (295, 324))]",2018-11-17 12:38:21,"(266.0, 295.0)",111.83022847155415,108.0,1.0,0.0,0.0,0.0
109,0,"((140, 253), (174, 287))","[((140, 253), (174, 287))]",2018-11-17 12:38:27,"(157.0, 270.0)",71.449282711585,109.0,1.0,0.0,0.0,0.0
110,0,"((63, 255), (109, 301))","[((63, 255), (109, 301))]",2018-11-17 12:38:28,"(86.0, 278.0)",112.29425630903836,110.0,0.0,1.0,0.0,0.0
111,1,"((170, 226), (220, 276))","[((170, 226), (220, 276))]",2018-11-17 12:38:31,"(195.0, 251.0)",37.98025802966588,111.0,1.0,0.0,0.0,0.0
112,0,"((132, 214), (185, 267))","[((132, 214), (185, 267))]",2018-11-17 12:38:32,"(158.5, 240.5)",44.52527372178637,112.0,1.0,0.0,1.0,0.0
113,0,"((85, 213), (143, 271))","[((85, 213), (143, 271))]",2018-11-17 12:38:33,"(114.0, 242.0)",125.12593655993149,113.0,0.0,1.0,0.0,0.0
114,0,"((213, 204), (264, 255))","[((213, 204), (264, 255))]",2018-11-17 12:38:38,"(238.5, 229.5)",48.05205510693585,114.0,1.0,0.0,0.0,0.0
115,0,"((163, 211), (220, 268))","[((163, 211), (220, 268))]",2018-11-17 12:38:39,"(191.5, 239.5)",251.04780421266383,115.0,0.0,1.0,0.0,0.0
116,0,"((413, 252), (466, 305))","[((413, 252), (466, 305))]",2018-11-17 12:38:41,"(439.5, 278.5)",387.7350899776805,116.0,0.0,1.0,0.0,0.0
117,1,"((24, 264), (80, 320))","[((24, 264), (80, 320))]",2018-11-17 12:42:12,"(52.0, 292.0)",163.3064603743526,117.0,0.0,1.0,0.0,0.0
118,0,"((179, 266), (251, 338))","[((179, 266), (251, 338))]",2018-11-17 12:44:52,"(215.0, 302.0)",13.509256086106296,118.0,1.0,0.0,1.0,0.0
119,1,"((158, 258), (245, 345))","[((158, 258), (245, 345))]",2018-11-17 12:45:19,"(201.5, 301.5)",10.606601717798213,119.0,1.0,0.0,0.0,0.0
120,1,"((171, 262), (253, 344))","[((171, 262), (253, 344))]",2018-11-17 12:45:32,"(212.0, 303.0)",11.045361017187261,120.0,1.0,0.0,1.0,0.0
121,1,"((162, 265), (240, 343))","[((162, 265), (240, 343))]",2018-11-17 12:45:43,"(201.0, 304.0)",75.11657606680433,121.0,1.0,0.0,1.0,0.0
122,0,"((126, 222), (177, 273))","[((135, 223), (180, 268)), ((126, 222), (177, 273))]",2018-11-17 12:48:50,"(151.5, 247.5)",116.1077086157504,122.0,0.0,1.0,0.0,1.0
123,0,"((4, 211), (67, 274))","[((4, 211), (67, 274))]",2018-11-17 12:48:52,"(35.5, 242.5)",561.1171891860024,123.0,0.0,1.0,0.0,0.0
124,0,"((536, 339), (622, 425))","[((536, 339), (622, 425))]",2018-11-17 12:48:54,"(579.0, 382.0)",271.57779732518634,124.0,0.0,1.0,0.0,0.0
125,0,"((324, 230), (361, 267))","[((324, 230), (361, 267))]",2018-11-17 12:49:29,"(342.5, 248.5)",101.59970472398038,125.0,1.0,0.0,0.0,0.0
126,0,"((418, 218), (470, 270))","[((418, 218), (470, 270))]",2018-11-17 12:49:30,"(444.0, 244.0)",47.460509900337144,126.0,1.0,0.0,0.0,0.0
127,0,"((403, 262), (458, 317))","[((403, 262), (458, 317))]",2018-11-17 12:52:33,"(430.5, 289.5)",43.01162633521314,127.0,1.0,0.0,0.0,0.0
128,0,"((364, 267), (411, 314))","[((372, 267), (409, 304)), ((364, 267), (411, 314))]",2018-11-17 12:52:33,"(387.5, 290.5)",46.17358552246078,128.0,1.0,0.0,0.0,0.0
